preco,valor_condominio,area,quartos,banheiros,vagas,cidade,bairro,tipo,churrasqueira,armarios_cozinha,varanda,piscina,salao,seguranca,portaria,elevador,academia
699000.0,550.0,97.0,3.0,2.0,2.0,Vitória,Enseada do Suá,apartamento,1,1,1,1,1,1,1,1,1
550000.0,600.0,120.0,3.0,2.0,1.0,Vitória,Barro Vermelho,apartamento,1,1,0,0,1,1,1,1,1
610531.0,0.0,77.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
490000.0,0.0,110.0,3.0,2.0,2.0,Vitória,Mata da Praia,apartamento,0,1,1,0,1,1,0,0,0
2800000.0,0.0,265.0,4.0,1.0,3.0,Vitória,Mata da Praia,apartamento,1,0,1,1,1,0,0,0,0
175000.0,0.0,0.0,3.0,2.0,2.0,Vitória,Centro,casa_rua,0,0,0,1,0,0,0,0,0
450000.0,400.0,65.0,2.0,1.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
490068.0,0.0,64.0,2.0,1.0,1.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
392781.0,0.0,55.0,2.0,1.0,1.0,Vitória,Horto,apartamento,1,0,1,1,1,0,0,0,0
870000.0,0.0,154.0,3.0,2.0,4.0,Vitória,Jardim Camburi,cobertura,0,0,1,1,0,0,1,1,0
340000.0,420.0,101.0,3.0,1.0,1.0,Vitória,Consolação,apartamento,0,0,0,0,0,0,0,0,0
382370.0,0.0,51.0,2.0,1.0,1.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,1,0,0,0,0
495055.0,0.0,66.0,3.0,1.0,2.0,Vitória,Jardim Camburi,apartamento,1,0,1,1,1,0,0,0,0
680000.0,650000.0,96.0,3.0,1.0,2.0,Vitória,Bento Ferreira,apartamento,1,0,1,1,1,0,0,0,0
265000.0,0.0,140.0,3.0,2.0,1.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
140000.0,300.0,52.0,1.0,1.0,0.0,Vitória,Centro,apartamento,0,0,0,0,0,0,0,0,0
532000.0,0.0,68.0,2.0,1.0,1.0,Vitória,Santa Helena,apartamento,1,0,1,1,1,0,0,0,0
685000.0,570.0,104.0,3.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,0,1,1,0
1199000.0,900.0,240.0,4.0,3.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,1,1,1,1,0,1
190000.0,0.0,0.0,2.0,1.0,1.0,Vitória,Jardim Camburi,casa_rua,0,0,1,0,0,0,0,0,0
2250000.0,1300.0,210.0,4.0,1.0,4.0,Vitória,Praia do Canto,apartamento,1,0,1,1,0,0,0,0,0
798000.0,630.0,120.0,3.0,2.0,2.0,Vitória,Praia do Canto,apartamento,0,0,0,0,0,0,0,0,0
310000.0,780.0,75.0,2.0,0.0,1.0,Vitória,Santa Helena,apartamento,1,0,0,1,0,0,0,0,0
1063500.0,0.0,76.0,2.0,1.0,2.0,Vitória,Praia do Canto,apartamento,1,0,1,1,1,0,0,0,0
2900000.0,1500.0,265.0,3.0,2.0,3.0,Vitória,Mata da Praia,apartamento,1,0,1,1,0,0,0,0,0
450001.0,0.0,72.0,2.0,2.0,1.0,Vitória,Santa Helena,apartamento,0,0,1,1,1,0,1,1,1
510000.0,300.0,77.0,3.0,1.0,2.0,Vitória,Praia do Suá,apartamento,1,0,1,1,1,0,0,0,0
160000.0,0.0,0.0,3.0,2.0,1.0,Vitória,Grande Vitória,casa_rua,0,1,0,0,0,0,0,0,0
550000.0,420.0,0.0,3.0,2.0,2.0,Vitória,Jardim Camburi,apartamento,0,0,0,0,0,0,0,0,0
1150000.0,1000.0,116.0,3.0,1.0,2.0,Vitória,Barro Vermelho,apartamento,1,0,1,1,1,0,0,0,0
2800000.0,1250.0,235.0,4.0,1.0,2.0,Vitória,Praia do Canto,apartamento,1,0,1,0,1,0,0,0,0
250000.0,0.0,0.0,3.0,1.0,2.0,Vitória,Maria Ortiz,casa_rua,0,1,0,0,0,0,0,0,0
2000000.0,0.0,0.0,4.0,2.0,5.0,Vitória,Maruípe,casa_rua,0,0,0,0,0,0,0,0,0
820000.0,0.0,106.0,4.0,2.0,3.0,Vitória,Jardim Camburi,apartamento,0,0,1,0,0,0,0,0,0
